age,death ratio
1,0.5
2,0.2
3,0
4,0.333
5,0
7,0.333
8,0
9,0
10,0
11,0
12,0
15,0
16,0.2
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0.167
25,0
26,0
27,0.111
28,0.1
29,0.263
30,0.16
31,0.1875
32,0.158
33,0.105
34,0.059
35,0.077
36,0
37,0
38,0.091
39,0.048
40,0.105
41,0
42,0.083
43,0.083
44,0.176
45,0
46,0.071
47,0.043
48,0
49,0.037
50,0.034
51,0.1
52,0
53,0.071
54,0
55,0.136
56,0.043
57,0
58,0.125
59,0
60,0.105
61,0.182
62,0
63,0.1
64,0
65,0
66,0.067
67,0
68,0.91
69,0
70,0
71,0
72,0
73,0.222
74,0
75,0
76,0
77,0.167
78,0.2
79,0
80,0
81,0
82,0.333
83,0
84,0
85,0.167
